year,city,country,avg_temp,7ÈÕ¾ùÖµ
1829,Dalian,China,14.33,
1830,Dalian,China,10.14,
1831,Dalian,China,8.99,
1832,Dalian,China,8.42,
1833,Dalian,China,,
1834,Dalian,China,,
1835,Dalian,China,,
1836,Dalian,China,,
1837,Dalian,China,19.65,
1838,Dalian,China,,
1839,Dalian,China,8.94,
1840,Dalian,China,9.7,
1841,Dalian,China,8.68,
1842,Dalian,China,9.64,
1843,Dalian,China,9.84,
1844,Dalian,China,9.82,
1845,Dalian,China,9.78,
1846,Dalian,China,10.23,
1847,Dalian,China,10.16,
1848,Dalian,China,9.91,
1849,Dalian,China,9.93,
1850,Dalian,China,9.05,
1851,Dalian,China,8.72,
1852,Dalian,China,8.94,
1853,Dalian,China,9.26,
1854,Dalian,China,10.01,
1855,Dalian,China,10.29,
1856,Dalian,China,9.8,
1857,Dalian,China,9.69,
1858,Dalian,China,10.01,
1859,Dalian,China,10,
1860,Dalian,China,8.79,
1861,Dalian,China,9.17,
1862,Dalian,China,9.1,
1863,Dalian,China,10.15,
1864,Dalian,China,9.44,
1865,Dalian,China,9.63,
1866,Dalian,China,9.81,
1867,Dalian,China,10.22,
1868,Dalian,China,10.02,
1869,Dalian,China,10.4,
1870,Dalian,China,9.75,
1871,Dalian,China,9.91,
1872,Dalian,China,9.74,
1873,Dalian,China,9.77,
1874,Dalian,China,10.13,
1875,Dalian,China,10.07,
1876,Dalian,China,10.46,
1877,Dalian,China,9.79,
1878,Dalian,China,9.79,
1879,Dalian,China,9.96,
1880,Dalian,China,9.62,
1881,Dalian,China,9.71,
1882,Dalian,China,10.09,
1883,Dalian,China,9.68,
1884,Dalian,China,9.04,
1885,Dalian,China,9.43,
1886,Dalian,China,9.82,
1887,Dalian,China,9.71,
1888,Dalian,China,9.57,
1889,Dalian,China,9.35,
1890,Dalian,China,10.54,
1891,Dalian,China,10.08,
1892,Dalian,China,9.34,
1893,Dalian,China,9.16,
1894,Dalian,China,10.66,
1895,Dalian,China,9.22,
1896,Dalian,China,9.68,
1897,Dalian,China,9.86,
1898,Dalian,China,10.94,
1899,Dalian,China,10.92,
1900,Dalian,China,10.27,
1901,Dalian,China,9.93,
1902,Dalian,China,10.67,
1903,Dalian,China,10.49,
1904,Dalian,China,10.05,
1905,Dalian,China,9.99,
1906,Dalian,China,9.73,
1907,Dalian,China,9.99,
1908,Dalian,China,9.74,
1909,Dalian,China,9.58,
1910,Dalian,China,9.41,
1911,Dalian,China,9.45,
1912,Dalian,China,9.35,
1913,Dalian,China,9.41,
1914,Dalian,China,10.63,
1915,Dalian,China,9.45,
1916,Dalian,China,9.73,
1917,Dalian,China,9.25,
1918,Dalian,China,9.84,
1919,Dalian,China,10.13,
1920,Dalian,China,10.55,
1921,Dalian,China,9.86,
1922,Dalian,China,10.02,
1923,Dalian,China,9.69,
1924,Dalian,China,9.96,
1925,Dalian,China,9.94,
1926,Dalian,China,10.12,
1927,Dalian,China,10.19,
1928,Dalian,China,10.01,
1929,Dalian,China,10.11,
1930,Dalian,China,10.32,
1931,Dalian,China,9.67,
1932,Dalian,China,10.41,
1933,Dalian,China,9.76,
1934,Dalian,China,9.78,
1935,Dalian,China,10.83,
1936,Dalian,China,9.49,
1937,Dalian,China,10.33,
1938,Dalian,China,10.44,
1939,Dalian,China,10.87,
1940,Dalian,China,10.42,
1941,Dalian,China,10.52,
1942,Dalian,China,10.3,
1943,Dalian,China,10.83,
1944,Dalian,China,10.16,
1945,Dalian,China,10.04,
1946,Dalian,China,10.89,
1947,Dalian,China,8.84,
1948,Dalian,China,10.86,
1949,Dalian,China,10.8,
1950,Dalian,China,10.54,
1951,Dalian,China,10.54,
1952,Dalian,China,10.37,
1953,Dalian,China,10.27,
1954,Dalian,China,9.87,
1955,Dalian,China,10.75,
1956,Dalian,China,9.38,
1957,Dalian,China,9.59,
1958,Dalian,China,10.52,
1959,Dalian,China,11,
1960,Dalian,China,10.48,
1961,Dalian,China,11.18,
1962,Dalian,China,10.49,
1963,Dalian,China,10.45,
1964,Dalian,China,10.24,
1965,Dalian,China,10.55,
1966,Dalian,China,10.27,
1967,Dalian,China,10.29,
1968,Dalian,China,10.53,
1969,Dalian,China,9.27,
1970,Dalian,China,10.03,
1971,Dalian,China,10.31,
1972,Dalian,China,10.28,
1973,Dalian,China,10.77,
1974,Dalian,China,10.07,
1975,Dalian,China,11.27,
1976,Dalian,China,9.85,
1977,Dalian,China,10.5,
1978,Dalian,China,10.76,
1979,Dalian,China,10.66,
1980,Dalian,China,9.99,
1981,Dalian,China,10.56,
1982,Dalian,China,11.27,
1983,Dalian,China,11.28,
1984,Dalian,China,10.23,
1985,Dalian,China,9.79,
1986,Dalian,China,10.32,
1987,Dalian,China,10.41,
1988,Dalian,China,10.99,
1989,Dalian,China,11.52,
1990,Dalian,China,11.26,
1991,Dalian,China,10.86,
1992,Dalian,China,10.96,
1993,Dalian,China,10.84,
1994,Dalian,China,11.65,
1995,Dalian,China,11.14,
1996,Dalian,China,10.71,
1997,Dalian,China,11.41,
1998,Dalian,China,11.79,
1999,Dalian,China,11.71,
2000,Dalian,China,11.14,
2001,Dalian,China,11.16,
2002,Dalian,China,11.59,
2003,Dalian,China,11.27,
2004,Dalian,China,11.81,
2005,Dalian,China,10.97,
2006,Dalian,China,11.45,
2007,Dalian,China,12.05,
2008,Dalian,China,11.5,
2009,Dalian,China,11.39,
2010,Dalian,China,10.48,
2011,Dalian,China,10.91,
2012,Dalian,China,10.55,
2013,Dalian,China,11.45,
