year,city,country,avg_temp,7ÈÕ¾ùÖµ
1820,Harbin,China,2.17,
1821,Harbin,China,3.33,
1822,Harbin,China,3.33,
1823,Harbin,China,2.79,
1824,Harbin,China,3.79,
1825,Harbin,China,3.56,
1826,Harbin,China,3.48,3.21 
1827,Harbin,China,4.03,3.47 
1828,Harbin,China,3.25,3.46 
1829,Harbin,China,3.11,3.43 
1830,Harbin,China,3.39,3.52 
1831,Harbin,China,2.34,3.31 
1832,Harbin,China,2.54,3.16 
1833,Harbin,China,2.93,3.08 
1834,Harbin,China,3.45,3.00 
1835,Harbin,China,2.51,2.90 
1836,Harbin,China,2.95,2.87 
1837,Harbin,China,2.53,2.75 
1838,Harbin,China,3.06,2.85 
1839,Harbin,China,2.2,2.80 
1840,Harbin,China,3.35,2.86 
1841,Harbin,China,2.19,2.68 
1842,Harbin,China,3.08,2.77 
1843,Harbin,China,3.55,2.85 
1844,Harbin,China,3.23,2.95 
1845,Harbin,China,3.18,2.97 
1846,Harbin,China,3.8,3.20 
1847,Harbin,China,3.37,3.20 
1848,Harbin,China,3.64,3.41 
1849,Harbin,China,3.65,3.49 
1850,Harbin,China,2.22,3.30 
1851,Harbin,China,1.85,3.10 
1852,Harbin,China,2.13,2.95 
1853,Harbin,China,2.22,2.73 
1854,Harbin,China,3.54,2.75 
1855,Harbin,China,4.12,2.82 
1856,Harbin,China,3.27,2.76 
1857,Harbin,China,2.94,2.87 
1858,Harbin,China,3.71,3.13 
1859,Harbin,China,3.21,3.29 
1860,Harbin,China,2.1,3.27 
1861,Harbin,China,2.45,3.11 
1862,Harbin,China,2.98,2.95 
1863,Harbin,China,3.93,3.05 
1864,Harbin,China,3.36,3.11 
1865,Harbin,China,2.9,2.99 
1866,Harbin,China,3.4,3.02 
1867,Harbin,China,3.44,3.21 
1868,Harbin,China,3.52,3.36 
1869,Harbin,China,3.69,3.46 
1870,Harbin,China,2.73,3.29 
1871,Harbin,China,2.91,3.23 
1872,Harbin,China,2.83,3.22 
1873,Harbin,China,2.92,3.15 
1874,Harbin,China,3.81,3.20 
1875,Harbin,China,3.78,3.24 
1876,Harbin,China,3.73,3.24 
1877,Harbin,China,3.59,3.37 
1878,Harbin,China,3.4,3.44 
1879,Harbin,China,3.29,3.50 
1880,Harbin,China,3.53,3.59 
1881,Harbin,China,3.12,3.49 
1882,Harbin,China,3.81,3.50 
1883,Harbin,China,3.36,3.44 
1884,Harbin,China,2.51,3.29 
1885,Harbin,China,3.07,3.24 
1886,Harbin,China,3.83,3.32 
1887,Harbin,China,3.26,3.28 
1888,Harbin,China,2.8,3.23 
1889,Harbin,China,2.92,3.11 
1890,Harbin,China,3.99,3.20 
1891,Harbin,China,3.45,3.33 
1892,Harbin,China,2.16,3.20 
1893,Harbin,China,2.64,3.03 
1894,Harbin,China,4.14,3.16 
1895,Harbin,China,2.59,3.13 
1896,Harbin,China,2.84,3.12 
1897,Harbin,China,3.54,3.05 
1898,Harbin,China,4.18,3.16 
1899,Harbin,China,4.33,3.47 
1900,Harbin,China,3.81,3.63 
1901,Harbin,China,3.86,3.59 
1902,Harbin,China,3.44,3.71 
1903,Harbin,China,4.13,3.90 
1904,Harbin,China,3.47,3.89 
1905,Harbin,China,3.96,3.86 
1906,Harbin,China,3.19,3.69 
1907,Harbin,China,3.47,3.65 
1908,Harbin,China,3.11,3.54 
1909,Harbin,China,2.69,3.43 
1910,Harbin,China,2.63,3.22 
1911,Harbin,China,3.19,3.18 
1912,Harbin,China,2.72,3.00 
1913,Harbin,China,3.05,2.98 
1914,Harbin,China,3.88,3.04 
1915,Harbin,China,1.72,2.84 
1916,Harbin,China,3.17,2.91 
1917,Harbin,China,2.73,2.92 
1918,Harbin,China,3.25,2.93 
