year,city,country,avg_temp,7ÈÕ¾ùÖµ
1841,Shanghai,China,14.87,
1842,Shanghai,China,15.43,
1843,Shanghai,China,15.53,
1844,Shanghai,China,15.33,
1845,Shanghai,China,15.43,
1846,Shanghai,China,15.85,
1847,Shanghai,China,15.78,15.46 
1848,Shanghai,China,15.02,15.48 
1849,Shanghai,China,15.44,15.48 
1850,Shanghai,China,15.6,15.49 
1851,Shanghai,China,15.22,15.48 
1852,Shanghai,China,15.44,15.48 
1853,Shanghai,China,15.79,15.47 
1854,Shanghai,China,15.99,15.50 
1855,Shanghai,China,15.84,15.62 
1856,Shanghai,China,15.55,15.63 
1857,Shanghai,China,15.93,15.68 
1858,Shanghai,China,15.49,15.72 
1859,Shanghai,China,15.64,15.75 
1860,Shanghai,China,15.05,15.64 
1861,Shanghai,China,15.29,15.54 
1862,Shanghai,China,14.47,15.35 
1863,Shanghai,China,15.2,15.30 
1864,Shanghai,China,14.85,15.14 
1865,Shanghai,China,15.72,15.17 
1866,Shanghai,China,15.54,15.16 
1867,Shanghai,China,15.95,15.29 
1868,Shanghai,China,15.86,15.37 
1869,Shanghai,China,16.09,15.60 
1870,Shanghai,China,15.95,15.71 
1871,Shanghai,China,16.31,15.92 
1872,Shanghai,China,16.12,15.97 
1873,Shanghai,China,15.74,16.00 
1874,Shanghai,China,15.68,15.96 
1875,Shanghai,China,15.47,15.91 
1876,Shanghai,China,15.6,15.84 
1877,Shanghai,China,15.43,15.76 
1878,Shanghai,China,15.46,15.64 
1879,Shanghai,China,16.13,15.64 
1880,Shanghai,China,15.28,15.58 
1881,Shanghai,China,15.63,15.57 
1882,Shanghai,China,15.54,15.58 
1883,Shanghai,China,15.41,15.55 
1884,Shanghai,China,14.92,15.48 
1885,Shanghai,China,14.91,15.40 
1886,Shanghai,China,15.06,15.25 
1887,Shanghai,China,15.65,15.30 
1888,Shanghai,China,15.87,15.34 
1889,Shanghai,China,15.3,15.30 
1890,Shanghai,China,16.22,15.42 
1891,Shanghai,China,15.72,15.53 
1892,Shanghai,China,15.43,15.61 
1893,Shanghai,China,15.13,15.62 
1894,Shanghai,China,16.23,15.70 
1895,Shanghai,China,15.27,15.61 
1896,Shanghai,China,15.73,15.68 
1897,Shanghai,China,15.6,15.59 
1898,Shanghai,China,16.33,15.67 
1899,Shanghai,China,15.84,15.73 
1900,Shanghai,China,15.8,15.83 
1901,Shanghai,China,15.26,15.69 
1902,Shanghai,China,16.27,15.83 
1903,Shanghai,China,15.56,15.81 
1904,Shanghai,China,15.64,15.81 
1905,Shanghai,China,15.5,15.70 
1906,Shanghai,China,15.5,15.65 
1907,Shanghai,China,15.57,15.61 
1908,Shanghai,China,15.67,15.67 
1909,Shanghai,China,15.84,15.61 
1910,Shanghai,China,15.26,15.57 
1911,Shanghai,China,15.48,15.55 
1912,Shanghai,China,15.61,15.56 
1913,Shanghai,China,15.36,15.54 
1914,Shanghai,China,16.52,15.68 
1915,Shanghai,China,16.11,15.74 
1916,Shanghai,China,15.75,15.73 
1917,Shanghai,China,15.09,15.70 
1918,Shanghai,China,15.55,15.71 
1919,Shanghai,China,15.93,15.76 
1920,Shanghai,China,16.02,15.85 
1921,Shanghai,China,15.58,15.72 
1922,Shanghai,China,16.11,15.72 
1923,Shanghai,China,15.77,15.72 
1924,Shanghai,China,15.72,15.81 
1925,Shanghai,China,15.65,15.83 
1926,Shanghai,China,16.04,15.84 
1927,Shanghai,China,16.13,15.86 
1928,Shanghai,China,16.03,15.92 
1929,Shanghai,China,15.96,15.90 
1930,Shanghai,China,16.06,15.94 
1931,Shanghai,China,15.64,15.93 
1932,Shanghai,China,16.04,15.99 
1933,Shanghai,China,15.91,15.97 
1934,Shanghai,China,15.85,15.93 
1935,Shanghai,China,16.33,15.97 
1936,Shanghai,China,15.28,15.87 
1937,Shanghai,China,16.09,15.88 
1938,Shanghai,China,16.32,15.97 
1939,Shanghai,China,16.13,15.99 
1940,Shanghai,China,16.25,16.04 
1941,Shanghai,China,16.39,16.11 
1942,Shanghai,China,16.21,16.10 
1943,Shanghai,China,16.01,16.20 
1944,Shanghai,China,16.14,16.21 
1945,Shanghai,China,15.91,16.15 
1946,Shanghai,China,16.7,16.23 
1947,Shanghai,China,15.87,16.18 
1948,Shanghai,China,16.49,16.19 
1949,Shanghai,China,16.56,16.24 
1950,Shanghai,China,16.4,16.30 
1951,Shanghai,China,16.18,16.30 
1952,Shanghai,China,16.1,16.33 
1953,Shanghai,China,17.03,16.38 
1954,Shanghai,China,15.85,16.37 
1955,Shanghai,China,16.06,16.31 
1956,Shanghai,China,15.61,16.18 
1957,Shanghai,China,15.6,16.06 
1958,Shanghai,China,16.07,16.05 
1959,Shanghai,China,16.54,16.11 
1960,Shanghai,China,16.6,16.05 
1961,Shanghai,China,17.02,16.21 
1962,Shanghai,China,16.11,16.22 
1963,Shanghai,China,16.2,16.31 
1964,Shanghai,China,16.58,16.45 
1965,Shanghai,China,16.06,16.44 
1966,Shanghai,China,16.5,16.44 
1967,Shanghai,China,16.05,16.36 
